,metric,K,fairness
0,precision,1,0.142
1,recall,1,-0.118
2,ndcg,1,0.142
3,hit_ratio,1,0.142
4,F1,1,-0.089
5,diversity,1,-0.0
6,novelty,1,0.001
7,coverage,1,-0.034
8,precision,5,0.2
9,recall,5,-0.111
10,ndcg,5,0.13
11,hit_ratio,5,0.134
12,F1,5,-0.013
13,diversity,5,0.006
14,novelty,5,0.002
15,coverage,5,-0.056
16,precision,10,0.176
17,recall,10,-0.105
18,ndcg,10,0.105
19,hit_ratio,10,0.115
20,F1,10,0.003
21,diversity,10,-0.008
22,novelty,10,0.001
23,coverage,10,-0.028
24,precision,20,0.199
25,recall,20,-0.076
26,ndcg,20,0.115
27,hit_ratio,20,0.102
28,F1,20,0.067
29,diversity,20,-0.012
30,novelty,20,0.002
31,coverage,20,-0.035
