,metric,K,fairness
0,precision,1,1.719
1,recall,1,-0.582
2,ndcg,1,1.719
3,hit_ratio,1,1.719
4,F1,1,-0.498
5,diversity,1,-0.0
6,novelty,1,0.018
7,coverage,1,-0.148
8,precision,5,1.835
9,recall,5,-0.554
10,ndcg,5,1.114
11,hit_ratio,5,1.183
12,F1,5,-0.244
13,diversity,5,-0.019
14,novelty,5,0.017
15,coverage,5,-0.103
16,precision,10,1.955
17,recall,10,-0.509
18,ndcg,10,0.997
19,hit_ratio,10,1.023
20,F1,10,0.014
21,diversity,10,-0.08
22,novelty,10,0.014
23,coverage,10,-0.08
24,precision,20,2.22
25,recall,20,-0.445
26,ndcg,20,1.111
27,hit_ratio,20,0.918
28,F1,20,0.412
29,diversity,20,-0.074
30,novelty,20,0.013
31,coverage,20,-0.073
