,metric,K,fairness
0,precision,1,0.02
1,recall,1,-0.18
2,ndcg,1,0.02
3,hit_ratio,1,0.02
4,F1,1,-0.158
5,diversity,1,-0.0
6,novelty,1,-0.007
7,coverage,1,-0.354
8,precision,5,0.055
9,recall,5,-0.153
10,ndcg,5,0.02
11,hit_ratio,5,0.022
12,F1,5,-0.096
13,diversity,5,0.009
14,novelty,5,-0.006
15,coverage,5,-0.294
16,precision,10,0.051
17,recall,10,-0.159
18,ndcg,10,0.003
19,hit_ratio,10,0.002
20,F1,10,-0.081
21,diversity,10,0.005
22,novelty,10,-0.005
23,coverage,10,-0.262
24,precision,20,0.059
25,recall,20,-0.155
26,ndcg,20,0.008
27,hit_ratio,20,0.003
28,F1,20,-0.05
29,diversity,20,0.002
30,novelty,20,-0.004
31,coverage,20,-0.22
