,metric,K,fairness
0,precision,1,0.202
1,recall,1,-0.853
2,ndcg,1,0.202
3,hit_ratio,1,0.202
4,F1,1,-0.813
5,diversity,1,-0.0
6,novelty,1,-0.018
7,coverage,1,-0.655
8,precision,5,0.294
9,recall,5,-0.823
10,ndcg,5,0.105
11,hit_ratio,5,0.254
12,F1,5,-0.676
13,diversity,5,0.028
14,novelty,5,-0.024
15,coverage,5,-0.637
16,precision,10,0.376
17,recall,10,-0.806
18,ndcg,10,0.126
19,hit_ratio,10,0.236
20,F1,10,-0.553
21,diversity,10,0.014
22,novelty,10,-0.026
23,coverage,10,-0.62
24,precision,20,0.537
25,recall,20,-0.772
26,ndcg,20,0.221
27,hit_ratio,20,0.225
28,F1,20,-0.344
29,diversity,20,0.003
30,novelty,20,-0.024
31,coverage,20,-0.571
