,metric,K,fairness
0,precision,1,0.018
1,recall,1,-0.137
2,ndcg,1,0.018
3,hit_ratio,1,0.018
4,F1,1,-0.13
5,diversity,1,-0.0
6,novelty,1,-0.001
7,coverage,1,-0.337
8,precision,5,-0.014
9,recall,5,-0.196
10,ndcg,5,-0.016
11,hit_ratio,5,-0.012
12,F1,5,-0.161
13,diversity,5,0.006
14,novelty,5,-0.001
15,coverage,5,-0.282
16,precision,10,0.018
17,recall,10,-0.163
18,ndcg,10,-0.007
19,hit_ratio,10,0.006
20,F1,10,-0.105
21,diversity,10,0.005
22,novelty,10,-0.001
23,coverage,10,-0.247
24,precision,20,0.051
25,recall,20,-0.149
26,ndcg,20,0.011
27,hit_ratio,20,0.018
28,F1,20,-0.054
29,diversity,20,0.002
30,novelty,20,-0.001
31,coverage,20,-0.198
