,metric,K,fairness
0,precision,1,0.041
1,recall,1,-0.874
2,ndcg,1,0.041
3,hit_ratio,1,0.041
4,F1,1,-0.841
5,diversity,1,-0.0
6,novelty,1,-0.006
7,coverage,1,-0.626
8,precision,5,0.198
9,recall,5,-0.843
10,ndcg,5,0.079
11,hit_ratio,5,0.222
12,F1,5,-0.709
13,diversity,5,0.041
14,novelty,5,-0.005
15,coverage,5,-0.571
16,precision,10,0.262
17,recall,10,-0.828
18,ndcg,10,0.115
19,hit_ratio,10,0.228
20,F1,10,-0.599
21,diversity,10,0.031
22,novelty,10,-0.004
23,coverage,10,-0.527
24,precision,20,0.423
25,recall,20,-0.795
26,ndcg,20,0.209
27,hit_ratio,20,0.236
28,F1,20,-0.399
29,diversity,20,0.02
30,novelty,20,-0.003
31,coverage,20,-0.469
