,metric,K,fairness
0,precision,1,0.333
1,recall,1,0.03
2,ndcg,1,0.333
3,hit_ratio,1,0.333
4,F1,1,0.029
5,diversity,1,0.0
6,novelty,1,-0.058
7,coverage,1,-0.367
8,precision,5,0.13
9,recall,5,0.095
10,ndcg,5,0.173
11,hit_ratio,5,0.1
12,F1,5,0.188
13,diversity,5,-0.028
14,novelty,5,-0.029
15,coverage,5,-0.22
16,precision,10,0.036
17,recall,10,-0.029
18,ndcg,10,0.101
19,hit_ratio,10,0.047
20,F1,10,0.06
21,diversity,10,-0.017
22,novelty,10,-0.015
23,coverage,10,-0.165
24,precision,20,0.052
25,recall,20,0.059
26,ndcg,20,0.099
27,hit_ratio,20,0.051
28,F1,20,0.082
29,diversity,20,-0.01
30,novelty,20,-0.015
31,coverage,20,-0.128
