,metric,K,fairness
0,precision,1,0.769
1,recall,1,-0.644
2,ndcg,1,0.769
3,hit_ratio,1,0.769
4,F1,1,-0.516
5,diversity,1,0.0
6,novelty,1,0.319
7,coverage,1,-0.402
8,precision,5,0.782
9,recall,5,-0.584
10,ndcg,5,0.589
11,hit_ratio,5,0.742
12,F1,5,-0.164
13,diversity,5,0.108
14,novelty,5,0.297
15,coverage,5,-0.117
16,precision,10,0.835
17,recall,10,-0.577
18,ndcg,10,0.624
19,hit_ratio,10,0.701
20,F1,10,0.06
21,diversity,10,0.081
22,novelty,10,0.265
23,coverage,10,-0.049
24,precision,20,0.76
25,recall,20,-0.602
26,ndcg,20,0.559
27,hit_ratio,20,0.434
28,F1,20,0.221
29,diversity,20,0.046
30,novelty,20,0.198
31,coverage,20,-0.084
