,metric,K,fairness
0,precision,1,0.242
1,recall,1,0.149
2,ndcg,1,0.242
3,hit_ratio,1,0.242
4,F1,1,0.16
5,diversity,1,-0.0
6,novelty,1,-0.018
7,coverage,1,-0.075
8,precision,5,0.294
9,recall,5,0.207
10,ndcg,5,0.251
11,hit_ratio,5,0.29
12,F1,5,0.241
13,diversity,5,0.039
14,novelty,5,-0.016
15,coverage,5,-0.048
16,precision,10,0.281
17,recall,10,0.197
18,ndcg,10,0.244
19,hit_ratio,10,0.261
20,F1,10,0.246
21,diversity,10,0.039
22,novelty,10,-0.016
23,coverage,10,-0.041
24,precision,20,0.25
25,recall,20,0.144
26,ndcg,20,0.222
27,hit_ratio,20,0.203
28,F1,20,0.215
29,diversity,20,0.041
30,novelty,20,-0.015
31,coverage,20,-0.027
