,metric,K,fairness
0,precision,1,1.229
1,recall,1,-0.356
2,ndcg,1,1.229
3,hit_ratio,1,1.229
4,F1,1,-0.229
5,diversity,1,-0.0
6,novelty,1,0.005
7,coverage,1,-0.102
8,precision,5,1.471
9,recall,5,-0.289
10,ndcg,5,1.136
11,hit_ratio,5,1.406
12,F1,5,0.203
13,diversity,5,-0.028
14,novelty,5,0.006
15,coverage,5,-0.079
16,precision,10,1.593
17,recall,10,-0.258
18,ndcg,10,1.22
19,hit_ratio,10,1.394
20,F1,10,0.519
21,diversity,10,-0.021
22,novelty,10,0.006
23,coverage,10,-0.066
24,precision,20,1.761
25,recall,20,-0.213
26,ndcg,20,1.32
27,hit_ratio,20,1.302
28,F1,20,0.912
29,diversity,20,-0.02
30,novelty,20,0.006
31,coverage,20,-0.043
