,metric,K,fairness
0,precision,1,0.114
1,recall,1,0.02
2,ndcg,1,0.114
3,hit_ratio,1,0.114
4,F1,1,0.024
5,diversity,1,-0.0
6,novelty,1,-0.032
7,coverage,1,-0.577
8,precision,5,0.218
9,recall,5,0.156
10,ndcg,5,0.165
11,hit_ratio,5,0.193
12,F1,5,0.176
13,diversity,5,0.017
14,novelty,5,-0.031
15,coverage,5,-0.501
16,precision,10,0.197
17,recall,10,0.098
18,ndcg,10,0.161
19,hit_ratio,10,0.171
20,F1,10,0.149
21,diversity,10,0.018
22,novelty,10,-0.029
23,coverage,10,-0.455
24,precision,20,0.18
25,recall,20,0.081
26,ndcg,20,0.155
27,hit_ratio,20,0.148
28,F1,20,0.146
29,diversity,20,0.017
30,novelty,20,-0.028
31,coverage,20,-0.414
