,metric,K,fairness
0,precision,1,0.97
1,recall,1,-0.436
2,ndcg,1,0.97
3,hit_ratio,1,0.97
4,F1,1,-0.328
5,diversity,1,-0.0
6,novelty,1,-0.047
7,coverage,1,-0.785
8,precision,5,1.161
9,recall,5,-0.361
10,ndcg,5,0.864
11,hit_ratio,5,1.083
12,F1,5,0.071
13,diversity,5,-0.012
14,novelty,5,-0.039
15,coverage,5,-0.735
16,precision,10,1.37
17,recall,10,-0.306
18,ndcg,10,0.995
19,hit_ratio,10,1.197
20,F1,10,0.407
21,diversity,10,-0.017
22,novelty,10,-0.034
23,coverage,10,-0.703
24,precision,20,1.482
25,recall,20,-0.275
26,ndcg,20,1.077
27,hit_ratio,20,1.084
28,F1,20,0.741
29,diversity,20,-0.021
30,novelty,20,-0.03
31,coverage,20,-0.666
