,metric,K,fairness
0,precision,1,-0.018
1,recall,1,-0.09
2,ndcg,1,-0.018
3,hit_ratio,1,-0.018
4,F1,1,-0.081
5,diversity,1,-0.0
6,novelty,1,-0.012
7,coverage,1,-0.556
8,precision,5,-0.003
9,recall,5,-0.071
10,ndcg,5,-0.025
11,hit_ratio,5,0.0
12,F1,5,-0.046
13,diversity,5,-0.004
14,novelty,5,-0.013
15,coverage,5,-0.439
16,precision,10,0.074
17,recall,10,-0.039
18,ndcg,10,0.037
19,hit_ratio,10,0.082
20,F1,10,0.015
21,diversity,10,-0.004
22,novelty,10,-0.014
23,coverage,10,-0.37
24,precision,20,0.142
25,recall,20,0.014
26,ndcg,20,0.089
27,hit_ratio,20,0.124
28,F1,20,0.096
29,diversity,20,-0.005
30,novelty,20,-0.014
31,coverage,20,-0.291
