,metric,K,fairness
0,precision,1,1.616
1,recall,1,-0.293
2,ndcg,1,1.616
3,hit_ratio,1,1.616
4,F1,1,-0.154
5,diversity,1,-0.0
6,novelty,1,-0.031
7,coverage,1,-0.666
8,precision,5,1.608
9,recall,5,-0.255
10,ndcg,5,1.439
11,hit_ratio,5,1.556
12,F1,5,0.246
13,diversity,5,-0.027
14,novelty,5,-0.023
15,coverage,5,-0.576
16,precision,10,1.695
17,recall,10,-0.233
18,ndcg,10,1.486
19,hit_ratio,10,1.578
20,F1,10,0.562
21,diversity,10,-0.026
22,novelty,10,-0.02
23,coverage,10,-0.514
24,precision,20,1.646
25,recall,20,-0.239
26,ndcg,20,1.46
27,hit_ratio,20,1.395
28,F1,20,0.832
29,diversity,20,-0.023
30,novelty,20,-0.017
31,coverage,20,-0.436
