,user_id,item_id,score,rank
362800,894,289,2.0473631640062084,1
1781,174,301,2.0212585876367695,1
319838,145,288,1.9938711433149956,1
216916,13,303,1.950359569643831,1
217645,13,207,1.83808675470695,2
378278,393,124,1.773241116243867,1
419880,588,289,1.7651800299482139,1
242766,620,477,1.7515888915427396,1
248452,532,291,1.740157464850703,1
636605,286,750,1.7290062953206289,1
198507,416,291,1.7090892756208544,1
2102,174,676,1.692357028072221,2
255587,119,291,1.6782426963412809,1
13554,201,650,1.6733767555511074,1
291162,279,293,1.6696779830921844,1
549396,280,284,1.6648328226819704,1
46113,270,939,1.6631885612165673,1
278398,334,269,1.650687087141599,1
432763,264,319,1.6457451025258065,1
415594,318,286,1.6419305719489194,1
753707,936,294,1.6373961365218892,1
144858,234,306,1.6254194600109542,1
599708,682,741,1.622559122677511,1
291258,279,748,1.6210388390668755,2
1171578,223,300,1.6118611958764377,1
256167,119,746,1.6105680602756467,2
248488,532,288,1.603184858943683,2
175543,846,230,1.602866922600102,1
1171655,223,328,1.600168146660478,2
255733,119,273,1.5973524015762295,3
255434,119,284,1.593942092239243,4
604176,887,246,1.5907666190768475,1
563666,374,284,1.5867007161901634,1
90600,450,778,1.5859227938260196,1
45755,270,14,1.585434407906684,2
149972,758,268,1.574148503679589,1
378497,393,289,1.5666986350145309,2
267004,59,628,1.5662767222331457,1
528127,315,268,1.564709759369824,1
362941,894,224,1.5639603412768692,2
448623,130,91,1.5615124896870523,1
636666,286,549,1.5565315142236542,2
636863,286,49,1.5549036072358957,3
545269,805,628,1.547261217616307,1
90266,450,274,1.5472303922086643,2
104286,466,271,1.5456804212563422,1
290255,655,513,1.544150334386224,1
145045,234,614,1.5434450960607466,2
217167,13,242,1.5425236109083442,3
448458,130,250,1.541174871418041,2
389615,851,331,1.5400538605750311,1
278607,334,289,1.5393223010940151,2
60314,363,250,1.5354580091239776,1
837878,221,410,1.5338172676108899,1
265804,747,319,1.5316910804441621,1
603758,887,268,1.5314685098836325,2
636879,286,248,1.5291020008564788,4
1174803,21,319,1.5289500364941608,1
543811,506,307,1.5287296650926123,1
118512,90,792,1.5279000618089473,1
786286,314,596,1.5275113175045538,1
150390,758,246,1.522830800872531,2
217410,13,526,1.5188083281020697,4
278425,334,169,1.5180143386428728,3
163039,373,86,1.5179370016923424,1
545871,805,465,1.516335293773098,2
23015,796,1063,1.5159648307548215,1
448922,130,559,1.5159560201530844,3
362709,894,294,1.5140705190494776,3
613941,305,515,1.5126360479695564,1
737884,798,1016,1.5085342903969998,1
549765,280,255,1.5072748234424014,2
60176,363,431,1.5066075947885582,2
278361,334,347,1.5035841311355624,4
150206,758,690,1.5025952590177505,3
228611,880,895,1.4989152777553953,1
85810,58,288,1.4962167710833638,1
251179,296,221,1.495295444850292,1
83537,592,81,1.4930001076423123,1
144593,234,485,1.4925549541544683,3
57272,883,640,1.4887712950587952,1
118557,90,283,1.4883827072293125,2
290185,655,292,1.4873387697765925,2
221202,697,333,1.4840040461797397,1
46161,270,77,1.4821563040401111,3
134303,320,150,1.481939706707486,1
474247,354,224,1.4801705503140452,1
152873,189,709,1.4787411551307943,1
90271,450,255,1.4785122199127414,3
2180,174,924,1.4783404041178423,3
150178,758,327,1.4766954467089493,4
461580,548,744,1.4747702971508114,1
153031,189,289,1.4746905544835782,2
320016,145,741,1.4710299211653028,2
448545,130,710,1.4704404179056445,4
547465,707,753,1.4682140647980013,1
753536,936,15,1.4679430678009826,2
832131,128,288,1.4674772074558229,1
448398,130,845,1.465788203915384,5
813417,343,221,1.4651148904861708,1
446775,831,307,1.4618960832232792,1
201979,38,584,1.4605182538888013,1
291398,279,665,1.4604161431552016,3
586525,239,223,1.4584110007169142,1
536674,347,763,1.4567592607207351,1
171469,487,410,1.4560892040529558,1
916488,928,301,1.4546999558867617,1
321206,299,497,1.454683381660853,1
546745,707,381,1.4540994211779177,2
420177,588,280,1.4532312769599973,2
105714,235,283,1.4529356639379887,1
357081,1,515,1.4512509546617893,1
621218,244,382,1.4507254633188087,1
297130,94,47,1.4487208559846085,1
162798,373,732,1.4475601731901244,2
89934,450,141,1.4442796376869522,4
185647,23,268,1.4424001215584183,1
461269,548,591,1.4422324831182607,2
257180,298,845,1.441803603600044,1
179146,387,81,1.4407253343353963,1
636762,286,845,1.4404010727475394,5
265807,747,602,1.439547144482008,2
378472,393,326,1.4392784170065773,3
484007,500,1009,1.4390557135532038,1
198579,416,73,1.4364170520205506,2
417441,504,465,1.4331137884318803,1
434369,435,164,1.4327135734659242,1
216937,13,141,1.430808016619864,5
417221,504,159,1.4307758048268016,2
786499,314,969,1.4300636350625286,2
619758,62,462,1.4297812092969273,1
198790,416,248,1.4287797584020108,3
140207,721,86,1.428595823681283,1
93097,751,289,1.4279838265901612,1
862239,867,515,1.4238110401423394,1
178671,387,518,1.4234948774496985,2
348525,222,286,1.4231351467117885,1
150064,758,410,1.4218865220786194,5
921908,460,302,1.4212739453326775,1
619757,62,109,1.4205890808534878,2
256078,119,815,1.4197781302088304,5
75874,197,751,1.419681502693425,1
837992,221,327,1.419342418535568,2
280445,907,924,1.419341193143063,1
47495,749,866,1.4189632737852844,1
61884,642,298,1.4177058951692094,1
70247,840,482,1.417321463297784,1
89922,450,404,1.4172191166548072,5
178878,387,1073,1.4167788555704466,3
291589,279,716,1.4165288527111466,4
163131,373,116,1.4140125761963334,3
107292,693,200,1.4138203293163794,1
409910,666,86,1.4135050623828367,1
603814,887,762,1.413439232465339,3
255470,119,239,1.4134361936353756,6
588667,437,367,1.4125911115337373,1
450171,551,685,1.4123786394045523,1
114939,92,693,1.4097553592231904,1
118888,90,648,1.40864474390476,3
529532,303,271,1.408379977290224,1
291567,279,781,1.4072085282759301,5
745074,291,433,1.4067512245237814,1
637359,286,752,1.4056073832665594,6
175977,846,708,1.4049751325394242,2
278623,334,546,1.404720709587099,5
278627,334,506,1.4044591375108275,6
1792,174,274,1.4041746694079102,4
400117,640,403,1.4039190757192814,1
746745,345,277,1.403590018665942,1
255870,119,248,1.4032393339385876,7
516928,608,301,1.4030396571395645,1
766636,207,286,1.4029174728625755,1
484298,500,91,1.4021431702854923,2
501032,339,628,1.401878995560616,1
814005,343,747,1.401838812760619,2
