,user_id,item_id,score,rank
555385,428,313,12.460765865511881,1
445460,748,50,12.12042186930055,1
555114,428,300,11.930075515359805,2
977000,519,1612,11.883427042719438,1
666420,507,300,11.83240728354357,1
1066306,735,286,11.746781073619308,1
282612,414,302,11.684304508879315,1
842267,701,286,11.623324602909168,1
899347,2,286,11.59839974208127,1
482562,738,50,11.54986090577896,1
1097374,462,300,11.504591121044342,1
720871,57,50,11.474613010922925,1
362795,894,286,11.453554093982353,1
186997,68,100,11.403925221664739,1
910662,402,50,11.396130276222703,1
837454,914,1406,11.382786279705229,1
1164668,723,50,11.371825906023835,1
170003,388,288,11.34686448219919,1
987766,668,313,11.339581711549243,1
254242,864,50,11.314261695113226,1
1097645,462,313,11.306008095834867,2
1056262,787,313,11.278669005240722,1
322839,743,286,11.266053482708244,1
482365,738,174,11.226592516543437,2
910486,402,100,11.21877406558397,2
1029103,941,50,11.211467662159137,1
555191,428,328,11.203186054358863,3
17141,489,333,11.191319439854018,1
231456,547,313,11.183914233417623,1
275693,772,313,11.162958237521933,1
685196,251,50,11.155563153192842,1
112969,653,50,11.109375351660498,1
852256,360,286,11.102762184428355,1
492326,589,300,11.10188717341052,1
983263,17,100,11.092128984017695,1
354132,910,50,11.082203500433456,1
1187324,63,100,11.07933385197128,1
187173,68,50,11.067404349066747,2
235737,784,313,11.034509511496594,1
815099,628,313,11.033255653994102,1
754943,680,100,11.00004575037811,1
1270367,475,286,10.971257116078313,1
996282,576,50,10.9358620161101,1
576744,43,50,10.929315378735483,1
987583,668,258,10.926013433576145,2
17406,489,313,10.92487852671066,2
1160433,673,313,10.923795619675415,1
1148795,742,100,10.923392841471744,1
1028927,941,100,10.918758199482877,2
1263177,818,313,10.90694853980605,1
167296,79,286,10.904609385348492,1
666497,507,328,10.899777501045438,2
161487,178,50,10.89656502359058,1
117250,407,50,10.892365443319264,1
979259,574,286,10.88988158368764,1
1066029,735,100,10.880237779115356,2
1175859,791,300,10.842805140858047,1
1076148,925,288,10.837909096048273,1
602430,678,50,10.829297694211943,1
17554,489,749,10.829037179595947,3
1147407,163,258,10.828704098358275,1
640959,323,50,10.81382813558695,1
1140455,482,313,10.810898067903858,1
282736,414,288,10.808832400026624,2
1257524,413,286,10.807110455544098,1
237118,554,50,10.807016011468166,1
1341479,509,258,10.790250329963161,1
428336,117,50,10.789989157158473,1
1192983,602,300,10.786244527497841,1
431190,538,50,10.78437428933405,1
1054613,136,100,10.774967988927534,1
1012080,204,286,10.769953383362088,1
666691,507,313,10.768396374201934,3
